CourseID,CourseName,Credits,Department
C0121,انجليزي,3,كلية الزراعة
C0122,رياضة,1,كلية التربية
C0123,كيمياء,4,كلية الصيدلة
C0124,مهارات تواصل,1,كلية الصيدلة
C0125,كتابة تقارير,3,كلية الصيدلة
C0126,مهارات تواصل,4,كلية الصيدلة
C0127,فيزياء,2,كلية التربية
C0128,مهارات تواصل,1,كلية التربية
C0129,عربي,4,كلية الصيدلة
C0130,فيزياء,3,كلية التربية
C0131,انجليزي,3,كلية التربية
C0132,كيمياء,4,كلية التربية
C0133,مهارات تواصل,3,كلية الزراعة
C0134,كتابة تقارير,2,كلية الزراعة
C0135,عربي,4,كلية الهندسة
C0136,كيمياء,1,كلية الهندسة
C0137,رياضة,3,كلية الزراعة
C0138,كتابة تقارير,3,كلية التربية
C0139,كيمياء,2,كلية الزراعة
C0140,كتابة تقارير,3,كلية الزراعة
C0141,مهارات تواصل,3,كلية الصيدلة
C0142,مهارات تواصل,4,كلية الزراعة
C0143,كيمياء,4,كلية التربية
C0144,فيزياء,3,كلية الزراعة
C0145,انجليزي,2,كلية التربية
C0146,رياضة,3,كلية الهندسة
C0147,كيمياء,2,كلية الزراعة
C0148,كيمياء,3,كلية الصيدلة
C0149,انجليزي,2,كلية الصيدلة
C0150,انجليزي,1,كلية الهندسة
C0151,مهارات تواصل,2,كلية الزراعة
C0152,كتابة تقارير,1,كلية الزراعة
C0153,عربي,1,كلية الزراعة
C0154,عربي,4,كلية الزراعة
C0155,كتابة تقارير,2,كلية الصيدلة
C0156,فيزياء,2,كلية الصيدلة
C0157,انجليزي,1,كلية التربية
C0158,كيمياء,4,كلية الزراعة
C0159,فيزياء,3,كلية الصيدلة
C0160,رياضة,4,كلية الهندسة
C0161,عربي,2,كلية الصيدلة
C0162,عربي,3,كلية الهندسة
C0163,انجليزي,2,كلية التربية
C0164,رياضة,1,كلية الهندسة
C0165,عربي,3,كلية التربية
C0166,مهارات تواصل,2,كلية الزراعة
C0167,عربي,4,كلية الصيدلة
C0168,مهارات تواصل,1,كلية الصيدلة
C0169,عربي,1,كلية الهندسة
C0170,رياضة,4,كلية الزراعة
C0171,فيزياء,2,كلية التربية
C0172,مهارات تواصل,4,كلية الصيدلة
C0173,مهارات تواصل,1,كلية الهندسة
C0174,مهارات تواصل,1,كلية الهندسة
C0175,كيمياء,4,كلية الزراعة
C0176,عربي,2,كلية الهندسة
C0177,كيمياء,3,كلية الصيدلة
C0178,انجليزي,2,كلية الزراعة
C0179,مهارات تواصل,1,كلية الهندسة
C0180,كيمياء,1,كلية التربية
C0181,فيزياء,1,كلية التربية
C0182,انجليزي,2,كلية التربية
C0183,كيمياء,4,كلية الزراعة
C0184,عربي,2,كلية التربية
C0185,انجليزي,2,كلية الزراعة
C0186,رياضة,2,كلية التربية
C0187,كيمياء,3,كلية الصيدلة
C0188,مهارات تواصل,4,كلية الزراعة
C0189,عربي,1,كلية الصيدلة
C0190,كيمياء,3,كلية الصيدلة
C0191,كتابة تقارير,4,كلية الصيدلة
C0192,كتابة تقارير,4,كلية الصيدلة
C0193,فيزياء,3,كلية الصيدلة
C0194,مهارات تواصل,4,كلية الزراعة
C0195,كيمياء,4,كلية الصيدلة
C0196,عربي,2,كلية التربية
C0197,مهارات تواصل,3,كلية التربية
C0198,كيمياء,4,كلية الهندسة
C0199,انجليزي,1,كلية الهندسة
C0200,انجليزي,1,كلية الزراعة
C0201,مهارات تواصل,1,كلية الزراعة
C0202,انجليزي,2,كلية الهندسة
C0203,كتابة تقارير,1,كلية الزراعة
C0204,انجليزي,4,كلية الزراعة
C0205,كتابة تقارير,4,كلية الهندسة
C0206,كتابة تقارير,4,كلية الصيدلة
C0207,رياضة,2,كلية الصيدلة
C0208,كتابة تقارير,3,كلية الهندسة
C0209,رياضة,3,كلية الزراعة
C0210,فيزياء,1,كلية الزراعة
C0211,مهارات تواصل,1,كلية الصيدلة
C0212,كتابة تقارير,4,كلية الصيدلة
C0213,انجليزي,1,كلية الصيدلة
C0214,كتابة تقارير,2,كلية الزراعة
C0215,مهارات تواصل,2,كلية الزراعة
C0216,انجليزي,4,كلية الزراعة
C0217,كيمياء,4,كلية الزراعة
C0218,فيزياء,4,كلية الزراعة
C0219,عربي,3,كلية الزراعة
C0220,فيزياء,3,كلية الصيدلة
C0221,فيزياء,1,كلية الزراعة
C0222,كيمياء,2,كلية الصيدلة
C0223,كتابة تقارير,3,كلية الهندسة
C0224,عربي,1,كلية التربية
C0225,كيمياء,2,كلية الزراعة
C0226,عربي,1,كلية الزراعة
C0227,فيزياء,4,كلية الزراعة
C0228,فيزياء,3,كلية الزراعة
C0229,كتابة تقارير,2,كلية الهندسة
C0230,رياضة,2,كلية الصيدلة
C0231,كتابة تقارير,4,كلية الزراعة
C0232,عربي,2,كلية الزراعة
C0233,كتابة تقارير,1,كلية الزراعة
C0234,رياضة,1,كلية الصيدلة
C0235,كيمياء,2,كلية الصيدلة
C0236,رياضة,1,كلية التربية
C0237,انجليزي,1,كلية الهندسة
C0238,عربي,2,كلية الزراعة
C0239,مهارات تواصل,3,كلية الهندسة
C0240,فيزياء,3,كلية الهندسة
C0241,رياضة,3,كلية الهندسة
C0242,فيزياء,3,كلية الهندسة
C0243,فيزياء,2,كلية الزراعة
C0244,فيزياء,2,كلية الصيدلة
C0245,عربي,2,كلية الزراعة
C0246,انجليزي,1,كلية الصيدلة
C0247,مهارات تواصل,4,كلية الهندسة
C0248,مهارات تواصل,3,كلية الصيدلة
C0249,كيمياء,1,كلية الصيدلة
C0250,كتابة تقارير,2,كلية الهندسة
C0251,فيزياء,1,كلية الزراعة
C0252,رياضة,1,كلية التربية
C0253,رياضة,1,كلية الصيدلة
C0254,كيمياء,4,كلية الهندسة
C0255,عربي,3,كلية الهندسة
C0256,مهارات تواصل,1,كلية التربية
C0257,كيمياء,3,كلية الهندسة
C0258,كتابة تقارير,3,كلية الصيدلة
C0259,كيمياء,2,كلية الزراعة
C0260,انجليزي,2,كلية التربية
C0261,كتابة تقارير,1,كلية الهندسة
C0262,فيزياء,2,كلية الصيدلة
C0263,عربي,4,كلية الصيدلة
C0264,كتابة تقارير,3,كلية الصيدلة
C0265,انجليزي,4,كلية الهندسة
C0266,كيمياء,1,كلية الصيدلة
C0267,كيمياء,2,كلية الصيدلة
C0268,انجليزي,4,كلية الصيدلة
C0269,رياضة,1,كلية الصيدلة
C0270,مهارات تواصل,1,كلية الهندسة
C0271,كيمياء,3,كلية الزراعة
C0272,فيزياء,1,كلية الزراعة
C0273,كيمياء,4,كلية الهندسة
C0274,فيزياء,1,كلية الزراعة
C0275,رياضة,2,كلية التربية
C0276,رياضة,2,كلية الهندسة
C0277,انجليزي,3,كلية الهندسة
C0278,عربي,3,كلية الصيدلة
C0279,فيزياء,2,كلية الصيدلة
C0280,عربي,2,كلية الصيدلة
C0281,عربي,1,كلية الهندسة
C0282,انجليزي,1,كلية الهندسة
C0283,انجليزي,1,كلية التربية
C0284,مهارات تواصل,2,كلية الزراعة
C0285,انجليزي,4,كلية الزراعة
C0286,مهارات تواصل,1,كلية الزراعة
C0287,مهارات تواصل,4,كلية الزراعة
C0288,فيزياء,2,كلية الزراعة
C0289,كتابة تقارير,4,كلية الصيدلة
C0290,مهارات تواصل,2,كلية الزراعة
C0291,فيزياء,1,كلية الصيدلة
C0292,انجليزي,1,كلية الصيدلة
C0293,رياضة,1,كلية الصيدلة
C0294,فيزياء,1,كلية الهندسة
C0295,فيزياء,1,كلية الصيدلة
C0296,كتابة تقارير,3,كلية الصيدلة
C0297,انجليزي,3,كلية الزراعة
C0298,فيزياء,3,كلية التربية
C0299,عربي,1,كلية الصيدلة
C0300,فيزياء,4,كلية الصيدلة
C0301,رياضة,2,كلية الزراعة
C0302,مهارات تواصل,1,كلية الزراعة
C0303,مهارات تواصل,3,كلية الصيدلة
C0304,كتابة تقارير,1,كلية الصيدلة
C0305,مهارات تواصل,2,كلية الزراعة
C0306,عربي,3,كلية الصيدلة
C0307,مهارات تواصل,1,كلية الصيدلة
C0308,رياضة,4,كلية الزراعة
C0309,انجليزي,4,كلية الزراعة
C0310,مهارات تواصل,1,كلية الزراعة
C0311,رياضة,4,كلية الصيدلة
C0312,مهارات تواصل,3,كلية الصيدلة
C0313,رياضة,4,كلية الزراعة
C0314,كيمياء,3,كلية الصيدلة
C0315,فيزياء,1,كلية الصيدلة
C0316,مهارات تواصل,3,كلية الصيدلة
C0317,رياضة,2,كلية الصيدلة
C0318,رياضة,2,كلية الزراعة
C0319,كيمياء,3,كلية الصيدلة
C0320,كيمياء,3,كلية الزراعة
C0321,عربي,3,كلية الهندسة
C0322,عربي,2,كلية التربية
C0323,مهارات تواصل,2,كلية الزراعة
C0324,عربي,3,كلية الزراعة
C0325,كيمياء,2,كلية الصيدلة
C0326,انجليزي,3,كلية الصيدلة
C0327,عربي,2,كلية الصيدلة
C0328,عربي,4,كلية الصيدلة
C0329,انجليزي,3,كلية الهندسة
C0330,كتابة تقارير,2,كلية التربية
C0331,انجليزي,1,كلية الصيدلة
C0332,انجليزي,3,كلية الزراعة
C0333,عربي,2,كلية التربية
C0334,مهارات تواصل,2,كلية الهندسة
C0335,مهارات تواصل,1,كلية الصيدلة
C0336,انجليزي,1,كلية التربية
C0337,انجليزي,2,كلية الزراعة
C0338,عربي,1,كلية الهندسة
C0339,مهارات تواصل,3,كلية التربية
C0340,كتابة تقارير,1,كلية الزراعة
C0341,كتابة تقارير,3,كلية الزراعة
C0342,كيمياء,3,كلية التربية
C0343,فيزياء,2,كلية الصيدلة
C0344,كتابة تقارير,1,كلية الزراعة
C0345,رياضة,3,كلية الهندسة
C0346,عربي,1,كلية الزراعة
C0347,كيمياء,4,كلية الصيدلة
C0348,انجليزي,1,كلية التربية
C0349,كتابة تقارير,2,كلية الصيدلة
C0350,رياضة,1,كلية الصيدلة
C0351,فيزياء,2,كلية الزراعة
C0352,كتابة تقارير,3,كلية التربية
C0353,فيزياء,2,كلية الصيدلة
C0354,كتابة تقارير,1,كلية الزراعة
C0355,انجليزي,3,كلية الزراعة
C0356,رياضة,2,كلية الزراعة
C0357,كيمياء,4,كلية الزراعة
C0358,مهارات تواصل,3,كلية الزراعة
C0359,عربي,1,كلية الصيدلة
C0360,مهارات تواصل,2,كلية الهندسة
C0361,كيمياء,3,كلية الهندسة
C0362,فيزياء,4,كلية الصيدلة
C0363,مهارات تواصل,1,كلية الهندسة
C0364,عربي,1,كلية الزراعة
C0365,كتابة تقارير,1,كلية الهندسة
C0366,عربي,4,كلية الزراعة
C0367,مهارات تواصل,4,كلية التربية
C0368,فيزياء,2,كلية الزراعة
C0369,رياضة,1,كلية الصيدلة
C0370,فيزياء,1,كلية الزراعة
C0371,كتابة تقارير,1,كلية الزراعة
C0372,فيزياء,3,كلية الصيدلة
C0373,عربي,3,كلية الهندسة
C0374,كيمياء,1,كلية الهندسة
C0375,فيزياء,1,كلية الصيدلة
C0376,مهارات تواصل,4,كلية الصيدلة
C0377,مهارات تواصل,4,كلية الزراعة
C0378,كيمياء,3,كلية الهندسة
C0379,مهارات تواصل,3,كلية التربية
C0380,رياضة,2,كلية الصيدلة
C0381,كتابة تقارير,4,كلية الزراعة
C0382,عربي,2,كلية التربية
C0383,كتابة تقارير,1,كلية الزراعة
C0384,كتابة تقارير,3,كلية الصيدلة
C0385,كيمياء,4,كلية الصيدلة
C0386,فيزياء,4,كلية التربية
C0387,فيزياء,3,كلية التربية
C0388,كيمياء,1,كلية الصيدلة
C0389,انجليزي,3,كلية الزراعة
C0390,كتابة تقارير,2,كلية الهندسة
C0391,مهارات تواصل,4,كلية التربية
C0392,فيزياء,4,كلية الزراعة
C0393,كيمياء,1,كلية الزراعة
C0394,فيزياء,4,كلية الهندسة
C0395,كتابة تقارير,4,كلية التربية
C0396,كتابة تقارير,1,كلية الزراعة
C0397,فيزياء,3,كلية الزراعة
C0398,انجليزي,3,كلية الصيدلة
C0399,كتابة تقارير,4,كلية الزراعة
C0400,مهارات تواصل,1,كلية الهندسة
C0401,رياضة,2,كلية الصيدلة
C0402,كيمياء,3,كلية الهندسة
C0403,كيمياء,2,كلية التربية
C0404,انجليزي,3,كلية الهندسة
C0405,فيزياء,1,كلية الصيدلة
C0406,فيزياء,2,كلية الزراعة
C0407,كتابة تقارير,3,كلية الصيدلة
C0408,فيزياء,4,كلية الصيدلة
C0409,كتابة تقارير,3,كلية الهندسة
C0410,كيمياء,1,كلية الزراعة
C0411,عربي,2,كلية الهندسة
C0412,كتابة تقارير,4,كلية التربية
C0413,انجليزي,4,كلية الهندسة
C0414,عربي,3,كلية الزراعة
C0415,انجليزي,2,كلية الهندسة
C0416,انجليزي,4,كلية الزراعة
C0417,فيزياء,3,كلية الصيدلة
C0418,كتابة تقارير,2,كلية الصيدلة
C0419,انجليزي,1,كلية الزراعة
C0420,رياضة,1,كلية التربية
C0421,مهارات تواصل,2,كلية الزراعة
C0422,انجليزي,4,كلية الصيدلة
C0423,كيمياء,4,كلية الهندسة
C0424,مهارات تواصل,3,كلية الهندسة
C0425,كيمياء,2,كلية الهندسة
C0426,عربي,1,كلية التربية
C0427,عربي,4,كلية الصيدلة
C0428,كيمياء,4,كلية الهندسة
C0429,كتابة تقارير,2,كلية التربية
C0430,مهارات تواصل,3,كلية التربية
C0431,فيزياء,3,كلية الصيدلة
C0432,مهارات تواصل,3,كلية الهندسة
C0433,فيزياء,3,كلية الهندسة
C0434,فيزياء,2,كلية التربية
C0435,فيزياء,4,كلية الهندسة
C0436,عربي,4,كلية الصيدلة
C0437,كيمياء,2,كلية الصيدلة
C0438,مهارات تواصل,2,كلية التربية
C0439,رياضة,3,كلية الزراعة
C0440,رياضة,1,كلية الهندسة
C0441,كيمياء,1,كلية الزراعة
C0442,رياضة,1,كلية الهندسة
C0443,مهارات تواصل,4,كلية التربية
C0444,انجليزي,1,كلية الهندسة
C0445,رياضة,3,كلية التربية
C0446,مهارات تواصل,1,كلية الزراعة
C0447,كتابة تقارير,4,كلية الزراعة
C0448,انجليزي,1,كلية الصيدلة
C0449,رياضة,2,كلية الزراعة
C0450,كيمياء,3,كلية الصيدلة
C0451,مهارات تواصل,3,كلية الصيدلة
C0452,مهارات تواصل,4,كلية الصيدلة
C0453,انجليزي,1,كلية الصيدلة
C0454,عربي,2,كلية الزراعة
C0455,مهارات تواصل,1,كلية الهندسة
C0456,انجليزي,1,كلية الصيدلة
C0457,رياضة,1,كلية التربية
C0458,كيمياء,4,كلية الصيدلة
C0459,انجليزي,1,كلية الزراعة
C0460,فيزياء,1,كلية الصيدلة
C0461,عربي,2,كلية الزراعة
C0462,كتابة تقارير,2,كلية الهندسة
C0463,مهارات تواصل,4,كلية الزراعة
C0464,مهارات تواصل,2,كلية الهندسة
C0465,فيزياء,1,كلية الصيدلة
C0466,فيزياء,1,كلية الصيدلة
C0467,فيزياء,4,كلية التربية
C0468,رياضة,2,كلية الصيدلة
C0469,عربي,4,كلية الصيدلة
C0470,فيزياء,3,كلية الزراعة
C0471,رياضة,2,كلية الصيدلة
C0472,كتابة تقارير,2,كلية الصيدلة
C0473,انجليزي,1,كلية التربية
C0474,كيمياء,2,كلية التربية
C0475,رياضة,2,كلية الزراعة
C0476,رياضة,4,كلية الصيدلة
C0477,كتابة تقارير,4,كلية التربية
C0478,كتابة تقارير,2,كلية الزراعة
C0479,رياضة,2,كلية الصيدلة
C0480,كيمياء,1,كلية الهندسة
C0481,مهارات تواصل,1,كلية الزراعة
C0482,كيمياء,2,كلية التربية
C0483,عربي,4,كلية الصيدلة
C0484,عربي,2,كلية الصيدلة
C0485,رياضة,4,كلية الصيدلة
C0486,عربي,1,كلية الزراعة
C0487,عربي,1,كلية الهندسة
C0488,انجليزي,3,كلية الزراعة
C0489,مهارات تواصل,2,كلية الزراعة
C0490,كيمياء,2,كلية التربية
C0491,كيمياء,1,كلية التربية
C0492,عربي,2,كلية الزراعة
C0493,كتابة تقارير,2,كلية الصيدلة
C0494,فيزياء,4,كلية الصيدلة
C0495,كيمياء,4,كلية التربية
C0496,فيزياء,1,كلية الصيدلة
C0497,فيزياء,4,كلية الهندسة
C0498,رياضة,1,كلية الزراعة
C0499,انجليزي,2,كلية الزراعة
C0500,كتابة تقارير,4,كلية التربية
C0501,عربي,2,كلية الصيدلة
C0502,رياضة,2,كلية الصيدلة
C0503,انجليزي,1,كلية الزراعة
C0504,رياضة,1,كلية الزراعة
C0505,كيمياء,3,كلية الهندسة
C0506,فيزياء,3,كلية الصيدلة
C0507,رياضة,3,كلية الصيدلة
C0508,فيزياء,1,كلية الهندسة
C0509,كيمياء,3,كلية الصيدلة
C0510,رياضة,1,كلية التربية
C0511,فيزياء,2,كلية التربية
C0512,عربي,3,كلية الزراعة
C0513,فيزياء,4,كلية الصيدلة
C0514,انجليزي,1,كلية الزراعة
C0515,كتابة تقارير,2,كلية الصيدلة
C0516,انجليزي,3,كلية الزراعة
C0517,كيمياء,1,كلية الزراعة
C0518,كيمياء,1,كلية الزراعة
C0519,كيمياء,1,كلية الصيدلة
C0520,كيمياء,2,كلية الصيدلة
C0521,فيزياء,4,كلية الهندسة
C0522,عربي,3,كلية الزراعة
C0523,كتابة تقارير,1,كلية الزراعة
C0524,عربي,1,كلية الزراعة
C0525,انجليزي,4,كلية الهندسة
C0526,رياضة,1,كلية الزراعة
C0527,كيمياء,1,كلية التربية
C0528,عربي,3,كلية الصيدلة
C0529,كتابة تقارير,2,كلية الزراعة
C0530,عربي,4,كلية الهندسة
C0531,كيمياء,3,كلية الهندسة
C0532,عربي,2,كلية الهندسة
C0533,رياضة,4,كلية الزراعة
C0534,مهارات تواصل,4,كلية الزراعة
C0535,كيمياء,3,كلية التربية
C0536,مهارات تواصل,1,كلية التربية
C0537,عربي,2,كلية الصيدلة
C0538,فيزياء,3,كلية الزراعة
C0539,كيمياء,4,كلية الصيدلة
C0540,كتابة تقارير,3,كلية الزراعة
C0541,كيمياء,1,كلية الصيدلة
C0542,كيمياء,1,كلية الصيدلة
C0543,كتابة تقارير,2,كلية الهندسة
C0544,كيمياء,4,كلية الزراعة
C0545,انجليزي,3,كلية الصيدلة
C0546,رياضة,3,كلية الزراعة
C0547,مهارات تواصل,1,كلية الزراعة
C0548,كتابة تقارير,4,كلية التربية
C0549,عربي,2,كلية الصيدلة
C0550,كتابة تقارير,2,كلية الزراعة
C0551,انجليزي,2,كلية الصيدلة
C0552,انجليزي,1,كلية الزراعة
C0553,عربي,3,كلية الصيدلة
C0554,فيزياء,2,كلية الزراعة
C0555,انجليزي,2,كلية الصيدلة
C0556,فيزياء,3,كلية الهندسة
C0557,كيمياء,1,كلية الصيدلة
C0558,كتابة تقارير,4,كلية الزراعة
C0559,كتابة تقارير,3,كلية الزراعة
C0560,عربي,2,كلية التربية
C0561,كتابة تقارير,4,كلية التربية
C0562,كتابة تقارير,3,كلية الزراعة
C0563,كيمياء,4,كلية التربية
C0564,عربي,4,كلية الصيدلة
C0565,رياضة,4,كلية الصيدلة
C0566,كتابة تقارير,1,كلية الصيدلة
C0567,عربي,1,كلية الصيدلة
C0568,رياضة,4,كلية التربية
C0569,رياضة,2,كلية الزراعة
C0570,عربي,1,كلية الزراعة
C0571,عربي,1,كلية الصيدلة
C0572,كيمياء,1,كلية الزراعة
C0573,كتابة تقارير,4,كلية الزراعة
C0574,عربي,4,كلية الهندسة
C0575,انجليزي,2,كلية الصيدلة
C0576,فيزياء,1,كلية الصيدلة
C0577,انجليزي,4,كلية الهندسة
C0578,كتابة تقارير,1,كلية التربية
C0579,عربي,3,كلية الهندسة
C0580,مهارات تواصل,1,كلية الصيدلة
C0581,مهارات تواصل,4,كلية الزراعة
C0582,كيمياء,4,كلية الصيدلة
C0583,رياضة,3,كلية التربية
C0584,عربي,4,كلية الزراعة
C0585,فيزياء,4,كلية الزراعة
C0586,كتابة تقارير,1,كلية الزراعة
C0587,رياضة,4,كلية الهندسة
C0588,كيمياء,1,كلية الصيدلة
C0589,كتابة تقارير,4,كلية الصيدلة
C0590,كيمياء,3,كلية الصيدلة
C0591,عربي,1,كلية الصيدلة
C0592,عربي,3,كلية الزراعة
C0593,فيزياء,1,كلية التربية
C0594,كتابة تقارير,3,كلية التربية
C0595,كتابة تقارير,1,كلية الصيدلة
C0596,فيزياء,4,كلية التربية
C0597,عربي,1,كلية الزراعة
C0598,عربي,4,كلية الزراعة
C0599,كيمياء,1,كلية الزراعة
C0600,كتابة تقارير,2,كلية الهندسة
C0601,كتابة تقارير,3,كلية الزراعة
C0602,عربي,4,كلية الزراعة
C0603,رياضة,4,كلية الصيدلة
C0604,فيزياء,3,كلية الهندسة
C0605,رياضة,3,كلية الصيدلة
C0606,رياضة,3,كلية الهندسة
C0607,انجليزي,4,كلية الصيدلة
C0608,عربي,4,كلية الصيدلة
C0609,كيمياء,3,كلية الزراعة
C0610,انجليزي,2,كلية التربية
C0611,عربي,2,كلية الزراعة
C0612,مهارات تواصل,4,كلية الصيدلة
C0613,رياضة,4,كلية الزراعة
C0614,فيزياء,2,كلية الصيدلة
C0615,كتابة تقارير,1,كلية الصيدلة
C0616,مهارات تواصل,1,كلية الزراعة
C0617,كيمياء,2,كلية الصيدلة
C0618,كتابة تقارير,3,كلية التربية
C0619,انجليزي,3,كلية الهندسة
C0620,مهارات تواصل,2,كلية الزراعة
C0621,رياضة,1,كلية الزراعة
C0622,كيمياء,3,كلية الصيدلة
C0623,كيمياء,2,كلية الزراعة
C0624,فيزياء,1,كلية الصيدلة
C0625,رياضة,3,كلية الهندسة
C0626,فيزياء,4,كلية الهندسة
C0627,كيمياء,1,كلية التربية
C0628,فيزياء,1,كلية الصيدلة
C0629,عربي,3,كلية الزراعة
C0630,كتابة تقارير,2,كلية الصيدلة
C0631,انجليزي,3,كلية التربية
C0632,مهارات تواصل,1,كلية الهندسة
C0633,عربي,2,كلية التربية
C0634,انجليزي,2,كلية الصيدلة
C0635,رياضة,2,كلية الهندسة
C0636,كتابة تقارير,1,كلية الزراعة
C0637,مهارات تواصل,2,كلية الصيدلة
C0638,عربي,2,كلية التربية
C0639,انجليزي,3,كلية الزراعة
C0640,انجليزي,4,كلية التربية
C0641,رياضة,1,كلية الصيدلة
C0642,عربي,3,كلية الزراعة
C0643,انجليزي,1,كلية التربية
C0644,رياضة,4,كلية الصيدلة
C0645,مهارات تواصل,4,كلية الزراعة
C0646,انجليزي,2,كلية الزراعة
C0647,كيمياء,3,كلية الهندسة
C0648,انجليزي,4,كلية الهندسة
C0649,كتابة تقارير,2,كلية التربية
C0650,مهارات تواصل,3,كلية الزراعة
C0651,عربي,4,كلية التربية
C0652,عربي,4,كلية الزراعة
